,str,dex,con,int,wis,cha,ac,hp,perception,fortitude,reflex,will,focus,num_immunities,land_speed,fly,climb,swim,spells_nr_lvl_1,spells_nr_lvl_2,spells_nr_lvl_3,spells_nr_lvl_4,spells_nr_lvl_5,spells_nr_lvl_6,spells_nr_lvl_7,spells_nr_lvl_8,spells_nr_lvl_9,melee_max_bonus,avg_melee_dmg,ranged_max_bonus,avg_ranged_dmg,acid_resistance,all_damage_resistance,bludgeoning_resistance,cold_resistance,electricity_resistance,fire_resistance,mental_resistance,physical_resistance,piercing_resistance,poison_resistance,slashing_resistance,area_damage_weakness,cold_weakness,cold_iron_weakness,evil_weakness,fire_weakness,good_weakness,slashing_weakness,splash_damage_weakness,level
0,3,-2,2,-5,0,-2,14,12,0,6,0,2,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1
1,7,8,5,4,5,4,34,265,24,22,25,24,1,0,30.0,0,30,0,0,0,0,2,0,1,0,0,0,26,29.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2,7,3,5,6,5,5,30,175,21,19,19,21,1,0,15.0,50,0,0,0,1,1,2,3,0,2,0,0,23,24.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3,7,4,5,4,7,5,33,220,25,23,18,25,1,2,30.0,0,0,0,0,0,0,2,1,2,1,0,0,26,27.0,0,0.0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,12
4,5,4,5,-2,4,0,24,90,14,17,14,12,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,17,15.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5,3,4,1,4,3,1,19,42,8,6,11,10,1,0,25.0,25,0,25,1,0,2,1,0,0,0,0,0,12,12.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,5,2,4,0,4,0,24,105,14,16,12,14,0,5,25.0,0,0,0,0,0,0,0,0,0,0,0,0,17,18.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6
7,7,3,4,-4,6,-2,28,155,21,15,18,21,0,0,0.0,0,0,40,0,0,0,0,0,0,0,0,0,21,20.0,0,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
8,6,3,4,2,4,3,27,120,18,18,13,16,1,1,25.0,25,0,30,0,1,0,4,1,0,0,0,0,20,21.5,0,0.0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,5,0,0,8
9,10,6,7,2,6,8,44,450,33,35,32,34,1,1,35.0,40,0,0,1,0,0,1,1,0,0,0,3,38,38.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
10,3,4,3,-5,3,-5,17,20,8,6,9,6,0,0,20.0,40,20,0,0,0,0,0,0,0,0,0,0,8,6.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,3,0,-4,3,-2,16,15,7,4,8,6,0,0,0.0,0,0,25,0,0,0,0,0,0,0,0,0,7,3.5,0,0.0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,6,4,-4,2,4,25,85,13,15,17,13,0,2,35.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,0,0,0,0,0,7,0,7,7,0,0,0,0,0,0,7,7
13,5,3,4,0,3,2,23,115,14,14,13,17,0,5,25.0,0,0,0,0,0,0,0,0,0,0,0,0,17,14.0,0,0.0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6
14,2,2,0,1,0,4,15,16,5,3,5,5,1,0,25.0,0,0,0,3,0,0,0,0,0,0,0,0,7,5.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,7,6,5,-2,5,0,31,195,22,22,23,18,0,0,15.0,0,0,40,0,0,0,0,0,0,0,0,0,24,23.5,23,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
16,4,2,3,-1,1,1,17,35,7,11,6,7,0,5,25.0,0,0,25,0,0,0,0,0,0,0,0,0,10,6.5,0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,6,1,4,0,3,3,28,175,18,19,16,18,1,3,30.0,100,0,30,0,0,0,1,0,0,0,0,0,21,21.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9
18,8,3,7,-3,2,3,39,320,25,28,26,23,0,1,50.0,0,0,40,0,0,0,0,0,0,0,0,0,31,29.5,0,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,15,0,0,0,15
